指标,数值,单位
平均OCR处理时间,5499.90,ms
平均总处理时间,5499.90,ms
平均FPS,0.07,fps
当前FPS,0.18,fps
平均CPU使用率,1.98,%
平均内存使用,1978.21,MB
平均GPU使用率,18.00,%
平均GPU显存,2625.00,MB
总帧数,35,帧
处理帧数,1,帧
OCR成功次数,1,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,15.09,秒
运行时间(格式化),00:00:15,-
