指标,数值,单位
平均OCR处理时间,5170.87,ms
平均总处理时间,5170.86,ms
平均FPS,0.13,fps
当前FPS,0.12,fps
平均CPU使用率,2.85,%
平均内存使用,1943.22,MB
平均GPU使用率,24.57,%
平均GPU显存,2644.57,MB
总帧数,348,帧
处理帧数,7,帧
OCR成功次数,7,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,55.08,秒
运行时间(格式化),00:00:55,-
