指标,数值,单位
平均OCR处理时间,4011.08,ms
平均总处理时间,4011.08,ms
平均FPS,0.19,fps
当前FPS,1.71,fps
平均CPU使用率,7.04,%
平均内存使用,1700.19,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,1401,帧
处理帧数,10,帧
OCR成功次数,10,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,53.00,秒
运行时间(格式化),00:00:52,-
