指标,数值,单位
平均OCR处理时间,0.00,ms
平均总处理时间,0.00,ms
平均FPS,0.00,fps
当前FPS,0.00,fps
平均CPU使用率,0.00,%
平均内存使用,0.00,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,971,帧
处理帧数,0,帧
OCR成功次数,0,次
OCR失败次数,0,次
OCR成功率,0.00,%
运行时间,38.22,秒
运行时间(格式化),00:00:38,-
