指标,数值,单位
平均OCR处理时间,2091.09,ms
平均总处理时间,2091.09,ms
平均FPS,0.28,fps
当前FPS,1.11,fps
平均CPU使用率,1.61,%
平均内存使用,1848.88,MB
平均GPU使用率,24.82,%
平均GPU显存,2683.14,MB
总帧数,662,帧
处理帧数,22,帧
OCR成功次数,22,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,79.47,秒
运行时间(格式化),00:01:19,-
