指标,数值,单位
平均OCR处理时间,551.47,ms
平均总处理时间,551.46,ms
平均FPS,0.18,fps
当前FPS,1.81,fps
平均CPU使用率,3.11,%
平均内存使用,1779.11,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,5,帧
处理帧数,1,帧
OCR成功次数,1,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,5.71,秒
运行时间(格式化),00:00:05,-
