指标,数值,单位
平均OCR处理时间,1020.47,ms
平均总处理时间,1020.46,ms
平均FPS,0.70,fps
当前FPS,1.54,fps
平均CPU使用率,7.32,%
平均内存使用,1837.09,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,1763,帧
处理帧数,109,帧
OCR成功次数,109,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,155.64,秒
运行时间(格式化),00:02:35,-
