指标,数值,单位
平均OCR处理时间,482.02,ms
平均总处理时间,482.02,ms
平均FPS,0.77,fps
当前FPS,2.20,fps
平均CPU使用率,1.59,%
平均内存使用,1639.89,MB
平均GPU使用率,32.43,%
平均GPU显存,2662.71,MB
总帧数,32,帧
处理帧数,7,帧
OCR成功次数,7,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,9.14,秒
运行时间(格式化),00:00:09,-
