指标,数值,单位
平均OCR处理时间,63.78,ms
平均总处理时间,73.15,ms
平均FPS,2.62,fps
当前FPS,10.95,fps
平均CPU使用率,3.55,%
平均内存使用,1614.87,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,151,帧
处理帧数,15,帧
OCR成功次数,15,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,5.73,秒
运行时间(格式化),00:00:05,-
