指标,数值,单位
平均OCR处理时间,94.07,ms
平均总处理时间,94.08,ms
平均FPS,0.27,fps
当前FPS,9.86,fps
平均CPU使用率,1.54,%
平均内存使用,1864.96,MB
平均GPU使用率,22.09,%
平均GPU显存,2627.09,MB
总帧数,118,帧
处理帧数,11,帧
OCR成功次数,11,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,41.40,秒
运行时间(格式化),00:00:41,-
