指标,数值,单位
平均OCR处理时间,74.17,ms
平均总处理时间,74.17,ms
平均FPS,2.61,fps
当前FPS,12.84,fps
平均CPU使用率,4.38,%
平均内存使用,1799.31,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,662,帧
处理帧数,66,帧
OCR成功次数,66,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,25.32,秒
运行时间(格式化),00:00:25,-
