指标,数值,单位
平均OCR处理时间,32.85,ms
平均总处理时间,41.44,ms
平均FPS,2.79,fps
当前FPS,13.48,fps
平均CPU使用率,1.72,%
平均内存使用,1613.85,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,140,帧
处理帧数,14,帧
OCR成功次数,14,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,5.02,秒
运行时间(格式化),00:00:05,-
