指标,数值,单位
平均OCR处理时间,150.42,ms
平均总处理时间,150.42,ms
平均FPS,1.01,fps
当前FPS,3.87,fps
平均CPU使用率,7.64,%
平均内存使用,1839.42,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,1370,帧
处理帧数,137,帧
OCR成功次数,137,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,136.00,秒
运行时间(格式化),00:02:15,-
