指标,数值,单位
平均OCR处理时间,22.97,ms
平均总处理时间,22.97,ms
平均FPS,2.79,fps
当前FPS,52.27,fps
平均CPU使用率,2.42,%
平均内存使用,1800.45,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,52,帧
处理帧数,5,帧
OCR成功次数,5,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,1.79,秒
运行时间(格式化),00:00:01,-
