指标,数值,单位
平均OCR处理时间,101.67,ms
平均总处理时间,101.67,ms
平均FPS,0.61,fps
当前FPS,8.66,fps
平均CPU使用率,4.21,%
平均内存使用,1833.89,MB
平均GPU使用率,24.14,%
平均GPU显存,2628.67,MB
总帧数,438,帧
处理帧数,43,帧
OCR成功次数,43,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,70.21,秒
运行时间(格式化),00:01:10,-
