指标,数值,单位
平均OCR处理时间,58.46,ms
平均总处理时间,67.88,ms
平均FPS,2.60,fps
当前FPS,15.92,fps
平均CPU使用率,3.51,%
平均内存使用,1807.19,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,435,帧
处理帧数,43,帧
OCR成功次数,43,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,16.52,秒
运行时间(格式化),00:00:16,-
