指标,数值,单位
平均OCR处理时间,41.45,ms
平均总处理时间,41.45,ms
平均FPS,1.38,fps
当前FPS,24.50,fps
平均CPU使用率,3.73,%
平均内存使用,1653.37,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,77,帧
处理帧数,7,帧
OCR成功次数,7,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,5.08,秒
运行时间(格式化),00:00:05,-
