指标,数值,单位
平均OCR处理时间,109.19,ms
平均总处理时间,109.20,ms
平均FPS,2.36,fps
当前FPS,9.62,fps
平均CPU使用率,5.00,%
平均内存使用,1517.00,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,180,帧
处理帧数,18,帧
OCR成功次数,18,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,7.64,秒
运行时间(格式化),00:00:07,-
