指标,数值,单位
平均OCR处理时间,53.37,ms
平均总处理时间,53.37,ms
平均FPS,1.54,fps
当前FPS,19.13,fps
平均CPU使用率,3.85,%
平均内存使用,1969.02,MB
平均GPU使用率,24.75,%
平均GPU显存,2753.00,MB
总帧数,43,帧
处理帧数,4,帧
OCR成功次数,4,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,2.60,秒
运行时间(格式化),00:00:02,-
