指标,数值,单位
平均OCR处理时间,725.48,ms
平均总处理时间,725.48,ms
平均FPS,0.59,fps
当前FPS,7.79,fps
平均CPU使用率,2.72,%
平均内存使用,1841.67,MB
平均GPU使用率,24.64,%
平均GPU显存,2657.97,MB
总帧数,390,帧
处理帧数,39,帧
OCR成功次数,39,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,65.57,秒
运行时间(格式化),00:01:05,-
