指标,数值,单位
平均OCR处理时间,182.69,ms
平均总处理时间,203.22,ms
平均FPS,1.91,fps
当前FPS,0.14,fps
平均CPU使用率,4.38,%
平均内存使用,1540.42,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,1080,帧
处理帧数,108,帧
OCR成功次数,108,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,56.62,秒
运行时间(格式化),00:00:56,-
