指标,数值,单位
平均OCR处理时间,223.44,ms
平均总处理时间,243.65,ms
平均FPS,1.79,fps
当前FPS,4.97,fps
平均CPU使用率,5.51,%
平均内存使用,1793.28,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,1060,帧
处理帧数,106,帧
OCR成功次数,106,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,59.31,秒
运行时间(格式化),00:00:59,-
