指标,数值,单位
平均OCR处理时间,349.21,ms
平均总处理时间,349.21,ms
平均FPS,0.79,fps
当前FPS,8.42,fps
平均CPU使用率,6.18,%
平均内存使用,1768.60,MB
平均GPU使用率,25.55,%
平均GPU显存,2632.88,MB
总帧数,692,帧
处理帧数,69,帧
OCR成功次数,69,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,87.21,秒
运行时间(格式化),00:01:27,-
