指标,数值,单位
平均OCR处理时间,412.03,ms
平均总处理时间,412.04,ms
平均FPS,0.62,fps
当前FPS,17.53,fps
平均CPU使用率,2.72,%
平均内存使用,1891.97,MB
平均GPU使用率,23.79,%
平均GPU显存,2683.67,MB
总帧数,337,帧
处理帧数,33,帧
OCR成功次数,33,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,53.24,秒
运行时间(格式化),00:00:53,-
