指标,数值,单位
平均OCR处理时间,85.61,ms
平均总处理时间,104.31,ms
平均FPS,2.37,fps
当前FPS,5.62,fps
平均CPU使用率,5.19,%
平均内存使用,1786.10,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,2176,帧
处理帧数,217,帧
OCR成功次数,217,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,91.47,秒
运行时间(格式化),00:01:31,-
