指标,数值,单位
平均OCR处理时间,49.81,ms
平均总处理时间,64.91,ms
平均FPS,2.63,fps
当前FPS,7.82,fps
平均CPU使用率,3.06,%
平均内存使用,1604.00,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,650,帧
处理帧数,65,帧
OCR成功次数,65,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,24.75,秒
运行时间(格式化),00:00:24,-
