指标,数值,单位
平均OCR处理时间,425.71,ms
平均总处理时间,425.71,ms
平均FPS,0.93,fps
当前FPS,19.91,fps
平均CPU使用率,2.44,%
平均内存使用,1515.52,MB
平均GPU使用率,19.44,%
平均GPU显存,2583.67,MB
总帧数,615,帧
处理帧数,61,帧
OCR成功次数,61,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,65.68,秒
运行时间(格式化),00:01:05,-
