指标,数值,单位
平均OCR处理时间,86.89,ms
平均总处理时间,86.89,ms
平均FPS,2.49,fps
当前FPS,9.33,fps
平均CPU使用率,4.30,%
平均内存使用,1808.68,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,761,帧
处理帧数,76,帧
OCR成功次数,76,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,30.57,秒
运行时间(格式化),00:00:30,-
