指标,数值,单位
平均OCR处理时间,258.76,ms
平均总处理时间,258.76,ms
平均FPS,0.78,fps
当前FPS,5.03,fps
平均CPU使用率,7.17,%
平均内存使用,1853.49,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,684,帧
处理帧数,68,帧
OCR成功次数,68,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,87.35,秒
运行时间(格式化),00:01:27,-
