指标,数值,单位
平均OCR处理时间,132.28,ms
平均总处理时间,132.28,ms
平均FPS,0.32,fps
当前FPS,6.94,fps
平均CPU使用率,2.89,%
平均内存使用,1822.09,MB
平均GPU使用率,17.00,%
平均GPU显存,2625.78,MB
总帧数,90,帧
处理帧数,9,帧
OCR成功次数,9,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,28.25,秒
运行时间(格式化),00:00:28,-
