指标,数值,单位
平均OCR处理时间,96.38,ms
平均总处理时间,96.38,ms
平均FPS,2.43,fps
当前FPS,11.51,fps
平均CPU使用率,4.61,%
平均内存使用,1819.74,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,600,帧
处理帧数,60,帧
OCR成功次数,60,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,24.66,秒
运行时间(格式化),00:00:24,-
