指标,数值,单位
平均OCR处理时间,134.50,ms
平均总处理时间,134.50,ms
平均FPS,1.42,fps
当前FPS,7.77,fps
平均CPU使用率,1.55,%
平均内存使用,1968.01,MB
平均GPU使用率,17.70,%
平均GPU显存,2625.00,MB
总帧数,100,帧
处理帧数,10,帧
OCR成功次数,10,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,7.06,秒
运行时间(格式化),00:00:07,-
