指标,数值,单位
平均OCR处理时间,148.30,ms
平均总处理时间,148.30,ms
平均FPS,0.70,fps
当前FPS,6.39,fps
平均CPU使用率,4.04,%
平均内存使用,1962.29,MB
平均GPU使用率,22.00,%
平均GPU显存,2630.00,MB
总帧数,33,帧
处理帧数,3,帧
OCR成功次数,3,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,4.26,秒
运行时间(格式化),00:00:04,-
