指标,数值,单位
平均OCR处理时间,119.34,ms
平均总处理时间,119.33,ms
平均FPS,0.98,fps
当前FPS,7.82,fps
平均CPU使用率,2.03,%
平均内存使用,1561.44,MB
平均GPU使用率,26.09,%
平均GPU显存,2634.04,MB
总帧数,234,帧
处理帧数,23,帧
OCR成功次数,23,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,23.54,秒
运行时间(格式化),00:00:23,-
