指标,数值,单位
平均OCR处理时间,97.72,ms
平均总处理时间,110.57,ms
平均FPS,2.33,fps
当前FPS,9.96,fps
平均CPU使用率,4.54,%
平均内存使用,1817.71,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,480,帧
处理帧数,48,帧
OCR成功次数,48,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,20.61,秒
运行时间(格式化),00:00:20,-
