指标,数值,单位
平均OCR处理时间,109.14,ms
平均总处理时间,118.94,ms
平均FPS,2.30,fps
当前FPS,10.83,fps
平均CPU使用率,2.44,%
平均内存使用,1575.46,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,223,帧
处理帧数,22,帧
OCR成功次数,22,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,9.58,秒
运行时间(格式化),00:00:09,-
