指标,数值,单位
平均OCR处理时间,155.96,ms
平均总处理时间,155.95,ms
平均FPS,1.16,fps
当前FPS,3.68,fps
平均CPU使用率,1.29,%
平均内存使用,1968.59,MB
平均GPU使用率,24.14,%
平均GPU显存,2643.29,MB
总帧数,70,帧
处理帧数,7,帧
OCR成功次数,7,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,6.04,秒
运行时间(格式化),00:00:06,-
