指标,数值,单位
平均OCR处理时间,151.56,ms
平均总处理时间,151.56,ms
平均FPS,0.55,fps
当前FPS,7.02,fps
平均CPU使用率,1.97,%
平均内存使用,1830.88,MB
平均GPU使用率,25.16,%
平均GPU显存,2635.59,MB
总帧数,371,帧
处理帧数,37,帧
OCR成功次数,37,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,67.18,秒
运行时间(格式化),00:01:07,-
