指标,数值,单位
平均OCR处理时间,131.24,ms
平均总处理时间,131.24,ms
平均FPS,1.01,fps
当前FPS,6.94,fps
平均CPU使用率,5.17,%
平均内存使用,1640.44,MB
平均GPU使用率,23.89,%
平均GPU显存,2626.95,MB
总帧数,736,帧
处理帧数,73,帧
OCR成功次数,73,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,72.04,秒
运行时间(格式化),00:01:12,-
