指标,数值,单位
平均OCR处理时间,118.23,ms
平均总处理时间,118.22,ms
平均FPS,1.75,fps
当前FPS,6.65,fps
平均CPU使用率,6.72,%
平均内存使用,1648.34,MB
平均GPU使用率,0.00,%
平均GPU显存,0.00,MB
总帧数,259,帧
处理帧数,25,帧
OCR成功次数,25,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,14.32,秒
运行时间(格式化),00:00:14,-
