指标,数值,单位
平均OCR处理时间,139.45,ms
平均总处理时间,139.45,ms
平均FPS,0.72,fps
当前FPS,7.31,fps
平均CPU使用率,2.37,%
平均内存使用,1895.52,MB
平均GPU使用率,24.77,%
平均GPU显存,2625.65,MB
总帧数,431,帧
处理帧数,43,帧
OCR成功次数,43,次
OCR失败次数,0,次
OCR成功率,100.00,%
运行时间,59.38,秒
运行时间(格式化),00:00:59,-
